72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-08T16:00,TSV 1865 Dachau,Ackermannbogen,Jahnhalle,TSV Schleißheim,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-08T16:30,Gautinger Sportclub e.V.,TuS Fürstenfeldbruck,Realschule,TSV München-Solln,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-08T16:45,TSV 1898 Penzberg,TSV München-Solln,Neue Sporthalle Wellenbad,ESV Staffelsee 2,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-08T17:00,Baskets Vilsbiburg,TSV Wasserburg,Ballsporthalle,TG Landshut,x,,
Kreisklasse Herren Südost 23/24,2023-10-08T17:00,TSV 1864 Grafing 2,TuS Prien BRIGENNAS,Jahnsporthalle,TSV Wasserburg,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-08T17:00,TSV 1884 Wolnzach,TSV München Ost,Hallertau-Gymnasium,TSV Jahn Freising,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-08T17:00,TSV Jahn Freising,TSV München Ost,Steinpark-Halle,VfB Hallbergmoos-Goldach,,,
Bezirksklasse Damen (bkd) 2023/24,2023-10-08T17:30,Ackermannbogen,TSV Ismaning,Hauptschule Elisabeth-Kohn-Str.,Slama Jama Gröbenzell,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-08T18:00,SpVgg Altenerding 2,TSV Schleißheim,Knabenschule,Baskets Vilsbiburg,,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-08T18:00,SV Bad Tölz,TSV Haar,Flintkaserne Sportpark,TuS Geretsried,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-10-08T18:00,TSV Dorfen,TSV Schleißheim,Hauptschule Dorfen,TSV Wasserburg,,,
Bezirksklasse Herren Südost  23/24,2023-10-08T18:30,SV Seeon,SV Wacker Burghausen 2,Schule Seeon,TSV Trostberg 1863,,,
